file_path,magnification,num_levels,width,height,mpp_x,mpp_y
/raid/users/farzaneh/DeepPATH/Meso_24/20x/MESO_24_23.ndpi,20,9,61440,37632,0.45126353790613716,0.4512839027031906
/raid/users/farzaneh/DeepPATH/Meso_24/20x/MESO_24_21.ndpi,20,9,61440,37632,0.45126353790613716,0.4512839027031906
/raid/users/farzaneh/DeepPATH/Meso_24/20x/MESO_24_20.ndpi,20,9,65536,43008,0.45126353790613716,0.4512839027031906
/raid/users/farzaneh/DeepPATH/Meso_24/20x/MESO_24_22.ndpi,20,9,61440,37632,0.45126353790613716,0.4512839027031906
/raid/users/farzaneh/DeepPATH/Meso_24/20x/MESO_24_24.ndpi,20,9,86016,51968,0.45126353790613716,0.4512839027031906
/raid/users/farzaneh/DeepPATH/Meso_24/20x/MESO_24_25.ndpi,20,9,77824,53760,0.45126353790613716,0.4512839027031906
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_10.ndpi,40,10,131072,93184,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_21.ndpi,40,10,122880,78848,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_14.ndpi,40,10,122880,78848,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_23.ndpi,40,10,122880,78848,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_26.ndpi,40,10,143360,75264,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_8.ndpi,40,10,98304,75264,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_23_2.ndpi,40,10,122880,78848,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_20.ndpi,40,10,122880,78848,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_13.ndpi,40,10,139264,82432,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_15.ndpi,40,10,131072,93184,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_22.ndpi,40,10,147456,75264,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_17.ndpi,40,10,147456,75264,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_9.ndpi,40,10,155648,75264,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_24_2.ndpi,40,10,118784,93184,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_11.ndpi,40,10,122880,78848,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_25.ndpi,40,10,143360,86016,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_12.ndpi,40,10,122880,78848,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_25_2.ndpi,40,10,143360,86016,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_18.ndpi,40,10,122880,78848,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_24.ndpi,40,10,118784,93184,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_26_2.ndpi,40,10,143360,75264,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_19/40x/MESO_19_19.ndpi,40,10,122880,78848,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_10/40x/MESO_10_14.ndpi,20,9,81920,37632,0.45126353790613716,0.4512839027031906
/raid/users/farzaneh/DeepPATH/Meso_10/40x/MESO_10_16.ndpi,20,9,61440,43008,0.45126353790613716,0.4512839027031906
/raid/users/farzaneh/DeepPATH/Meso_10/40x/MESO_10_19.ndpi,20,9,65536,37632,0.45126353790613716,0.4512839027031906
/raid/users/farzaneh/DeepPATH/Meso_10/40x/MESO_10_17.ndpi,20,9,61440,37632,0.45126353790613716,0.4512839027031906
/raid/users/farzaneh/DeepPATH/Meso_10/40x/MESO_10_12.ndpi,20,9,61440,48384,0.45126353790613716,0.4512839027031906
/raid/users/farzaneh/DeepPATH/Meso_10/40x/MESO_10_18.ndpi,20,9,61440,51968,0.45126353790613716,0.4512839027031906
/raid/users/farzaneh/DeepPATH/Meso_10/40x/MESO_10_21.ndpi,20,9,69632,48384,0.45126353790613716,0.4512839027031906
/raid/users/farzaneh/DeepPATH/Meso_10/40x/MESO_10_13.ndpi,20,9,69632,50176,0.45126353790613716,0.4512839027031906
/raid/users/farzaneh/DeepPATH/Meso_10/40x/MESO_10_25.ndpi,40,10,131072,75264,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_10/40x/MESO_10_22.ndpi,40,10,151552,89600,0.22562667809841835,0.22563686003745573
/raid/users/farzaneh/DeepPATH/Meso_10/40x/MESO_10_20.ndpi,20,9,73728,51968,0.45126353790613716,0.4512839027031906
/raid/users/farzaneh/DeepPATH/Meso_18/MESO_18_34.ndpi,20,9,45056,43008,0.45126353790613716,0.4512839027031906
